"pair","method_code","b_fast","se_fast","pval_fast","b_native","se_native","pval_native","abs_beta_delta","abs_se_delta","abs_pval_delta","relative_se_delta"
27,"weighted_median",-0.242861217386189,0.139797897932225,0.0823464362559838,-0.242861217386189,0.134403388763387,0.0707688990299147,0,0.0053945091688381,0.0115775372260691,0.0401367050226314
27,"simple_mode",-0.326309143587028,14.770238967953,0.982428629369121,-0.326309143587028,16.7359962061019,0.984492224688019,0,1.96575723814887,0.00206359531889833,0.117456840569321
27,"weighted_mode",-0.326309143587028,14.7172513347198,0.982365376309339,-0.326309143587028,16.2453793265995,0.984023946566151,0,1.5281279918797,0.00165857025681204,0.0940653930670375
28,"ivw",-0.00294866923634138,0.12376722926736,0.980992746407193,-0.00294866923634133,0.12376722926736,0.980992746407194,5.11743425413158e-17,1.38777878078145e-17,3.33066907387547e-16,1.12128128665108e-16
28,"egger",-0.12996120910148,0.175957229831135,0.462314083223922,-0.12996120910148,0.175957229831134,0.462314083223922,0,2.77555756156289e-17,0,1.57740467057056e-16
28,"weighted_median",-0.264330468201888,0.138920237797688,0.057073187688863,-0.264330468201888,0.133615664313018,0.0478960548877071,5.55111512312578e-17,0.00530457348467026,0.00917713280115598,0.0397002365848617
28,"simple_mode",0.462985963454986,9.16806635289271,0.959848394091509,0.462985963454986,9.47556044795397,0.961150298273376,0,0.307494095061259,0.00130190418186737,0.0324512831457536
28,"weighted_mode",-0.106420475986654,9.11562852009104,0.990714008709062,-0.106420475986654,9.92819266489696,0.991473981670937,0,0.812564144805922,0.000759972961875133,0.0818441152616729
29,"ivw",0.207479581290008,0.153399294730086,0.176200757915043,0.207479581290008,0.153399294730086,0.176200757915043,2.77555756156289e-17,0,8.32667268468867e-17,0
29,"egger",0.66913062382605,0.207031841713084,0.00178591390661907,0.669130623826051,0.207031841713084,0.00178591390661905,9.99200722162641e-16,2.77555756156289e-17,2.49366499671666e-17,1.34064283957315e-16
29,"weighted_median",0.642472015729989,0.125644882008722,3.16418281247609e-07,0.642472015729989,0.121408859405705,1.21114959072552e-07,0,0.00423602260301681,1.95303322175057e-07,0.0348905559590304
29,"simple_mode",0.637662321633739,19.375675862157,0.973826957101394,0.637662321633739,20.3695690621241,0.975103586345291,0,0.993893199967058,0.00127662924389693,0.0487930400950475
29,"weighted_mode",0.637662321633739,19.5431049066967,0.974051105041312,0.637662321633739,20.1386976488533,0.974818268148979,0,0.595592742156644,0.000767163107666446,0.0295745411417186
30,"ivw",-0.154851681356376,0.158377226508947,0.328203145595804,-0.154851681356375,0.158377226508947,0.328203145595804,2.4980018054066e-16,0,7.21644966006352e-16,0
30,"egger",-0.307424519951193,0.231622479179857,0.188196350815601,-0.307424519951193,0.231622479179857,0.188196350815601,5.55111512312578e-16,1.94289029309402e-16,4.71844785465692e-16,8.38817674335207e-16
